type,airport,runway,timestamp,timestamp_iso,lat,lon,track_deg,icao,registration,aircraft_type,description,db_flags
takeoff,JFK,22R,1720742402.44,2024-07-12T00:00:02Z,40.647812,-73.765442,210.9,ab6800,N834JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1720742450.54,2024-07-12T00:00:50Z,40.649682,-73.763986,208.1,a759eb,N573DT,A21N,AIRBUS A-321neo,0
takeoff,LGA,22,1720742472.26,2024-07-12T00:01:12Z,40.77459,-73.879669,213.8,a5fc87,N485PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,04,1720742514.79,2024-07-12T00:01:54Z,40.776187,-73.875987,56.2,a5e02d,N478PX,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1720742543.95,2024-07-12T00:02:23Z,40.776106,-73.878406,210.9,ac8b43,N907XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,31L,1720742556.03,2024-07-12T00:02:36Z,40.629353,-73.770081,263.0,440184,OE-LPM,B789,BOEING 787-9 Dreamliner,0
takeoff,JFK,31L,1720742556.91,2024-07-12T00:02:36Z,40.629421,-73.770187,263.0,440184,OE-LPM,B789,BOEING 787-9 Dreamliner,0
takeoff,JFK,22R,1720742564.64,2024-07-12T00:02:44Z,40.649717,-73.763986,208.1,780a5b,B-KQK,B77W,BOEING 777-300ER,0
takeoff,LGA,04,1720742633.34,2024-07-12T00:03:53Z,40.776066,-73.876617,73.1,ac8b43,N907XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1720742641.56,2024-07-12T00:04:01Z,40.773422,-73.879944,180.0,a1584a,N186PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22L,1720742643.68,2024-07-12T00:04:03Z,40.631092,-73.765976,216.6,a977bb,N709TW,B752,BOEING 757-200,0
takeoff,JFK,22R,1720742739.15,2024-07-12T00:05:39Z,40.647366,-73.765808,210.9,a8bf91,N663CA,B744,,0
landing,JFK,22L,1720742742.38,2024-07-12T00:05:42Z,40.630363,-73.766826,225.0,a52cc8,N432YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1720742771.59,2024-07-12T00:06:11Z,40.777668,-73.873917,67.5,a1584a,N186PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1720742792.08,2024-07-12T00:06:32Z,40.776077,-73.878433,213.8,a64996,N504JB,A320,AIRBUS A-320,0
landing,LGA,04,1720742809.81,2024-07-12T00:06:49Z,40.775414,-73.877289,73.1,a4d04c,N409YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,04,1720742810.51,2024-07-12T00:06:50Z,40.775419,-73.877251,75.9,a4d04c,N409YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1720742816.64,2024-07-12T00:06:56Z,40.630772,-73.766312,219.4,4ca74e,EI-EAV,A333,AIRBUS A-330-300,0
takeoff,LGA,04,1720742879.15,2024-07-12T00:07:59Z,40.775466,-73.877173,75.9,a64996,N504JB,A320,AIRBUS A-320,0
takeoff,JFK,13L,1720742897.24,2024-07-12T00:08:17Z,40.656071,-73.783665,120.9,a01f73,N107HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1720742913.7,2024-07-12T00:08:33Z,40.646889,-73.766186,210.9,a4c98f,N4074J,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1720742915.88,2024-07-12T00:08:35Z,40.636635,-73.761552,210.9,a707a3,N552JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1720742968.91,2024-07-12T00:09:28Z,40.648968,-73.764572,168.8,a01112,N103NN,A321,AIRBUS A-321,0
landing,JFK,22L,1720743029.09,2024-07-12T00:10:29Z,40.630028,-73.767334,230.6,acf2e4,N933XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1720743045.01,2024-07-12T00:10:45Z,40.774864,-73.879395,208.1,a35e6f,N316PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,13,1720743080.45,2024-07-12T00:11:20Z,40.779062,-73.874161,109.7,a53436,N434YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1720743099.71,2024-07-12T00:11:39Z,40.630108,-73.767227,230.6,780bb8,B-2097,B77L,BOEING 777-200LR,0
takeoff,JFK,22R,1720743148.7,2024-07-12T00:12:28Z,40.648602,-73.764832,210.9,a17ecd,N196DN,B763,BOEING 767-300,0
takeoff,LGA,04,1720743173.88,2024-07-12T00:12:53Z,40.777611,-73.874161,64.7,a35e6f,N316PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22L,1720743214.02,2024-07-12T00:13:34Z,40.634411,-73.763321,202.5,a095aa,N137EV,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1720743216.96,2024-07-12T00:13:36Z,40.647645,-73.765578,210.9,4005bf,G-VIIG,B772,BOEING 777-200,0
landing,LGA,22,1720743238.43,2024-07-12T00:13:58Z,40.773511,-73.879951,182.8,a5307f,N433YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,22,1720743238.89,2024-07-12T00:13:58Z,40.773476,-73.879951,182.8,a5307f,N433YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,31L,1720743338.94,2024-07-12T00:15:38Z,40.629627,-73.770401,300.9,a9a750,N721AN,B77W,BOEING 777-300ER,0
takeoff,JFK,22R,1720743343.28,2024-07-12T00:15:43Z,40.646667,-73.766342,210.9,a84d62,N634JB,A320,AIRBUS A-320,0
takeoff,JFK,22R,1720743392.01,2024-07-12T00:16:32Z,40.649763,-73.763924,210.9,a34d2f,N3112J,BCS3,AIRBUS A220-300,0
takeoff,JFK,31L,1720743392.24,2024-07-12T00:16:32Z,40.634136,-73.780441,286.9,a52cc8,N432YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,22,1720743444.75,2024-07-12T00:17:24Z,40.774475,-73.879669,210.9,c05c7a,C-GJAN,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,04,1720743446.44,2024-07-12T00:17:26Z,40.773388,-73.884216,25.3,ad6113,N961NK,A20N,AIRBUS A-320neo,0
takeoff,JFK,22R,1720743464.54,2024-07-12T00:17:44Z,40.649798,-73.763908,208.1,a6c70f,N536DN,A21N,AIRBUS A-321neo,0
landing,JFK,22L,1720743485.06,2024-07-12T00:18:05Z,40.634494,-73.763284,210.9,780ab8,B-LRM,A359,AIRBUS A-350-900,0
landing,JFK,22L,1720743511.44,2024-07-12T00:18:31Z,40.631433,-73.769557,188.4,a34215,N309PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1720743525.75,2024-07-12T00:18:45Z,40.649677,-73.763992,210.9,ad8836,N971JT,A321,AIRBUS A-321,0
landing,LGA,04,1720743526.34,2024-07-12T00:18:46Z,40.777679,-73.873901,75.9,a24c73,N24702,B737,BOEING 737-700,0
takeoff,LGA,04,1720743526.34,2024-07-12T00:18:46Z,40.777679,-73.873901,75.9,a24c73,N24702,B737,BOEING 737-700,0
takeoff,LGA,04,1720743569.54,2024-07-12T00:19:29Z,40.777679,-73.873856,73.1,c05c7a,C-GJAN,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1720743586.74,2024-07-12T00:19:46Z,40.649658,-73.764017,208.1,ab398a,N822NW,A333,AIRBUS A-330-300,0
landing,JFK,22L,1720743610.04,2024-07-12T00:20:10Z,40.62989,-73.767593,233.4,407ed8,G-VEII,A339,AIRBUS A-330-900,0
landing,LGA,22,1720743656.26,2024-07-12T00:20:56Z,40.773548,-73.879929,185.6,c0671b,C-GNBE,BCS3,AIRBUS A220-300,0
takeoff,LGA,22,1720743656.26,2024-07-12T00:20:56Z,40.773548,-73.879929,185.6,c0671b,C-GNBE,BCS3,AIRBUS A220-300,0
landing,LGA,04,1720743679.93,2024-07-12T00:21:19Z,40.776222,-73.875956,45.0,ac159a,N878RW,E170,EMBRAER ERJ-170-100,0
landing,JFK,22L,1720743706.24,2024-07-12T00:21:46Z,40.633095,-73.764374,210.9,ad5329,N958JB,A321,AIRBUS A-321,0
takeoff,JFK,22R,1720743774.94,2024-07-12T00:22:54Z,40.646542,-73.766434,210.9,aca29a,N913JB,A321,AIRBUS A-321,0
landing,JFK,22L,1720743813.05,2024-07-12T00:23:33Z,40.630514,-73.766608,222.2,89901f,B-18006,B77W,BOEING 777-300ER,0
landing,LGA,04,1720743823.26,2024-07-12T00:23:43Z,40.776094,-73.876721,61.9,a46a7e,N384DN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1720743823.56,2024-07-12T00:23:43Z,40.647892,-73.765381,208.1,a39113,N329PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1720743890.99,2024-07-12T00:24:50Z,40.776839,-73.877798,213.8,ac98c1,N910XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22L,1720743902.03,2024-07-12T00:25:02Z,40.630806,-73.766327,219.4,aad981,N799AN,B772,BOEING 777-200,0
takeoff,JFK,22R,1720743946.1,2024-07-12T00:25:46Z,40.646505,-73.766483,210.9,a4c5d8,N4064J,A21N,AIRBUS A-321neo,0
takeoff,LGA,04,1720744000.04,2024-07-12T00:26:40Z,40.776066,-73.876663,73.1,ac98c1,N910XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1720744007.53,2024-07-12T00:26:47Z,40.642365,-73.769699,210.9,a0f4b5,N1605,B763,BOEING 767-300,0
landing,JFK,22L,1720744091.16,2024-07-12T00:28:11Z,40.630293,-73.766889,225.0,a4491f,N3753,B738,BOEING 737-800,0
landing,JFK,22L,1720744182.31,2024-07-12T00:29:42Z,40.633773,-73.763846,210.9,a18284,N197DN,B763,BOEING 767-300,0
takeoff,JFK,22R,1720744198.16,2024-07-12T00:29:58Z,40.649345,-73.764252,210.9,a98219,N711ZX,B752,BOEING 757-200,0
takeoff,JFK,31L,1720744199.64,2024-07-12T00:29:59Z,40.632166,-73.78354,323.4,a66ce0,N513DA,A21N,AIRBUS A-321neo,0
takeoff,LGA,13,1720744213.04,2024-07-12T00:30:13Z,40.778829,-73.875223,120.9,a8af5f,N659NK,A321,AIRBUS A-321,0
takeoff,JFK,22R,1720744266.91,2024-07-12T00:31:06Z,40.646336,-73.766602,210.9,acc1eb,N921AK,B39M,BOEING 737 MAX 9,0
landing,LGA,04,1720744272.69,2024-07-12T00:31:12Z,40.775431,-73.877314,70.3,a25238,N249JB,E190,EMBRAER ERJ-190-100,0
takeoff,LGA,04,1720744272.69,2024-07-12T00:31:12Z,40.775431,-73.877314,70.3,a25238,N249JB,E190,EMBRAER ERJ-190-100,0
landing,JFK,22L,1720744290.99,2024-07-12T00:31:30Z,40.633221,-73.764603,227.8,a4ba02,N403YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,LGA,04,1720744292.11,2024-07-12T00:31:32Z,40.770103,-73.882004,45.0,acf5be,N934NN,B738,BOEING 737-800,0
takeoff,JFK,22R,1720744326.49,2024-07-12T00:32:06Z,40.647459,-73.765749,210.9,ade9c0,N996JL,A321,AIRBUS A-321,0
landing,JFK,22L,1720744371.97,2024-07-12T00:32:51Z,40.630875,-73.766218,219.4,a36825,N3189J,BCS3,AIRBUS A220-300,0
takeoff,LGA,04,1720744440.04,2024-07-12T00:34:00Z,40.775443,-73.877298,67.5,acf5be,N934NN,B738,BOEING 737-800,0
landing,JFK,22L,1720744446.69,2024-07-12T00:34:06Z,40.632609,-73.764798,210.9,a2f5b8,N290CM,B763,BOEING 767-300,0
takeoff,JFK,13R,1720744464.39,2024-07-12T00:34:24Z,40.639538,-73.794434,120.9,ad1560,N942JB,A321,AIRBUS A-321,0
takeoff,JFK,22R,1720744467.05,2024-07-12T00:34:27Z,40.650124,-73.763626,210.9,a34c2f,N311SY,E75L,,0
landing,LGA,04,1720744472.63,2024-07-12T00:34:32Z,40.776025,-73.876861,53.4,ac92b1,N909XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,JFK,22L,1720744531.73,2024-07-12T00:35:31Z,40.630737,-73.766357,219.4,394a0a,F-GSQK,B77W,BOEING 777-300ER,0
takeoff,LGA,13,1720744545.52,2024-07-12T00:35:45Z,40.777668,-73.87262,104.1,ac92b1,N909XJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
landing,LGA,22,1720744547.55,2024-07-12T00:35:47Z,40.773522,-73.879936,185.6,c018c8,C-FJJZ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1720744547.64,2024-07-12T00:35:47Z,40.647469,-73.765732,210.9,abb3be,N853NW,A332,AIRBUS A-330-200,0
takeoff,JFK,31L,1720744597.59,2024-07-12T00:36:37Z,40.634365,-73.780975,300.9,a3612a,N317DN,A321,AIRBUS A-321,0
takeoff,JFK,22R,1720744629.77,2024-07-12T00:37:09Z,40.64653,-73.766464,210.9,4b187a,HB-JHA,A333,AIRBUS A-330-300,0
landing,LGA,22,1720744645.74,2024-07-12T00:37:25Z,40.773731,-73.879913,185.6,a2af3e,N272PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,LGA,22,1720744646.78,2024-07-12T00:37:26Z,40.773617,-73.879929,182.8,a2af3e,N272PQ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,31L,1720744651.05,2024-07-12T00:37:31Z,40.633587,-73.784103,300.9,a426a5,N367DN,A321,AIRBUS A-321,0
takeoff,LGA,13,1720744696.93,2024-07-12T00:38:16Z,40.777712,-73.872866,98.4,c018c8,C-FJJZ,CRJ9,BOMBARDIER Regional Jet CRJ-900,0
takeoff,JFK,22R,1720744706.87,2024-07-12T00:38:26Z,40.646336,-73.766602,210.9,407be2,G-EILA,A333,AIRBUS A-330-300,0
landing,LGA,22,1720744709.85,2024-07-12T00:38:29Z,40.776947,-73.877716,210.9,ac3ea3,N8885Q,B38M,BOEING 737 MAX 8,0
landing,JFK,22L,1720744732.26,2024-07-12T00:38:52Z,40.636505,-73.761734,210.9,a9c5c5,N729JB,A320,AIRBUS A-320,0
takeoff,JFK,31L,1720744738.49,2024-07-12T00:38:58Z,40.633129,-73.783081,300.9,a50cb7,N424YX,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1720744744.94,2024-07-12T00:39:04Z,40.649975,-73.763779,208.1,a33843,N3062J,BCS3,AIRBUS A220-300,0
landing,LGA,22,1720744801.73,2024-07-12T00:40:01Z,40.776237,-73.878296,213.8,a042db,N116DU,BCS1,AIRBUS A220-100,0
landing,JFK,22L,1720744805.22,2024-07-12T00:40:05Z,40.636077,-73.762067,208.1,a8c796,N665JB,A320,AIRBUS A-320,0
takeoff,LGA,04,1720744807.94,2024-07-12T00:40:07Z,40.776009,-73.876678,70.3,ac3ea3,N8885Q,B38M,BOEING 737 MAX 8,0
landing,JFK,22L,1720744879.67,2024-07-12T00:41:19Z,40.636391,-73.761795,210.9,a7e5c1,N608JB,A320,AIRBUS A-320,0
landing,LGA,22,1720744899.55,2024-07-12T00:41:39Z,40.773359,-73.879967,185.6,c00ba7,C-FEKS,E75S,EMBRAER ERJ-170-200 (short wing),0
takeoff,JFK,22R,1720744937.34,2024-07-12T00:42:17Z,40.649763,-73.763924,210.9,a537ed,N435YX,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1720744961.7,2024-07-12T00:42:41Z,40.636868,-73.761442,210.9,a4eacb,N416DX,A339,AIRBUS A-330-900,0
takeoff,JFK,22R,1720745007.45,2024-07-12T00:43:27Z,40.647251,-73.7659,210.9,a403c6,N358NW,A320,AIRBUS A-320,0
takeoff,JFK,22R,1720745052.08,2024-07-12T00:44:12Z,40.649689,-73.763992,210.9,a276dd,N258SY,E75L,EMBRAER ERJ-170-200 (long wing),0
landing,JFK,22L,1720745060.01,2024-07-12T00:44:20Z,40.635235,-73.762711,210.9,a4c02d,N405KZ,B744,BOEING 747-400,0
landing,LGA,22,1720745077.67,2024-07-12T00:44:37Z,40.77364,-73.879929,185.6,a0835d,N132HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,LGA,22,1720745077.67,2024-07-12T00:44:37Z,40.77364,-73.879929,185.6,a0835d,N132HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
takeoff,JFK,22R,1720745122.65,2024-07-12T00:45:22Z,40.645911,-73.76692,210.9,a51601,N427DX,A339,AIRBUS A-330-900,0
landing,LGA,22,1720745158.96,2024-07-12T00:45:58Z,40.776478,-73.878094,213.8,a40cd9,N360FR,A20N,AIRBUS A-320neo,0
takeoff,LGA,22,1720745171.02,2024-07-12T00:46:11Z,40.773067,-73.880905,210.9,a40cd9,N360FR,A20N,AIRBUS A-320neo,0
takeoff,JFK,22R,1720745192.28,2024-07-12T00:46:32Z,40.647503,-73.765701,210.9,406832,G-VWAG,A333,AIRBUS A-330-300,0
landing,JFK,22L,1720745242.25,2024-07-12T00:47:22Z,40.630451,-73.766724,225.0,a0433b,N116HQ,E75L,EMBRAER ERJ-170-200 (long wing),0
